a1|aH aH
fei2|F ehL iH
fei3|F ehL iL
fei4|F ehH iL
fen1|F elH nnH
fen2|F elL nnH
fen3|F elL nnL
fen4|F elH nnL
feng1|F elH ngH
feng2|F elL ngH
feng3|F elL ngL
feng4|F elH ngL
fo2|fu uL oH
fou2|F oL uH
fou3|F oL uL
fou4|F oH uL
fu1|fu uH uH
fu2|fu uL uH
fu3|fu uL uL
fu4|fu uH uL
ga1|ga aH aH
ga2|ga aL aH
ga3|ga aL aL
ga4|ga aH aL
gai1|ga H ehH
gai3|ga L ehL
gai4|ga H ehL
gan1|ga H nnH
gan2|ga L nnH
gan3|ga L nnL
gan4|ga H nnL
gang1|ga aH ngH
gang3|ga aL ngL
gang4|ga aH ngL
gao1|ga aH oH
gao3|ga aL oL
gao4|ga aH oL
ge1|ge elH elH
ge2|ge elL elH
ge3|ge elL elL
ge4|ge elH elL
gei3|ge ehL iL
gen1|ge elH nnH
gen3|ge elL nnL
gen4|ge elH nnL
geng1|ge elH ngH
geng3|ge elL ngL
geng4|ge elH ngL
gong1|gu uH ngH
gong3|gu uL ngL
gong4|gu uH ngL
gou1|go H uH
gou3|go L uL
gou4|go H uL
gu1|gu uH uH
gu2|gu uL uH
gu3|gu uL uL
gu4|gu uH uL
gua1|gu aH aH
gua3|gu aL aL
gua4|gu aH aL
guai1|gu aH ehH
guai3|gu aL ehL
guai4|gu aH ehL
guan1|gu aH nnH
guan3|gu aL nnL
guan4|gu aH nnL
guang1|gu aaH ngH
guang3|gu aaL ngL
guang4|gu aaH ngL
gui1|gu ehH iH
gui2|gu ehL iH
gui3|gu ehL iL
gui4|gu ehH iL
gun1|gu elH nnH
gun3|gu elL nnL
gun4|gu elH nnL
guo1|gu oH oH
guo2|gu oL oH
guo3|gu oL oL
guo4|gu oH oL
guo5|gu oM oM
ha1|H aH aH
ha2|H aL aH
hai1|H aH ehH
hai2|H aL ehH
hai3|H aL ehL
hai4|H aH ehL
han1|H aH nnH
han2|H aL nnH
han3|H aL nnL
han4|H aH nnL
hang1|H aaH ngH
hang2|H aaL ngH
hang3|H aaL ngL
hang4|H aaH ngL
hao1|H aaH oH
hao2|H aaL oH
hao3|H aaL oL
hao4|H aaH oL
he1|H elH elH
he2|H elL elH
he4|H elH elL
hei1|H ehH iH
hen2|H elL nnH
hen3|H elL nnL
hen4|H elH nnL
heng1|H elH ngH
heng2|H elL ngH
heng4|H elH ngL
hong1|hu uH ngH
hong2|hu uL ngH
hong3|hu uL ngL
hong4|hu uH ngL
hou1|H oH uH
hou2|H oL uH
hou3|H oL uL
hou4|H oH uL
hu1|hu uH uH
hu2|hu uL uH
hu3|hu uL uL
hu4|hu uH uL
hua1|hu aH aH
hua2|hu aL aH
hua3|hu aL aL
hua4|hu aH aL
huai1|hu aH ehH
huai2|hu aL ehH
huai4|hu aH ehL
huan1|hu aH nnH
huan2|hu aL nnH
huan3|hu aL nnL
huan4|hu aH nnL
huang1|hu aaH ngH
huang2|hu aaL ngH
huang3|hu aaL ngL
huang4|hu aaH ngL
hui1|hu ehH iH
hui2|hu ehL iH
hui3|hu ehL iL
hui4|hu ehH iL
hun1|hu elH nnH
hun2|hu elL nnH
hun3|hu elL nnL
hun4|hu elH nnL
huo1|hu oH oH
huo2|hu oL oH
huo3|hu oL oL
huo4|hu oH oL
ji1|ji iH iH
ji2|ji iL iH
ji3|ji iL iL
ji4|ji iH iL
jia1|ji aH aH
jia2|ji aL aH
jia3|ji aL aL
jia4|ji aH aL
jian1|ji aH nnH
jian3|ji aL nnL
jian4|ji aH nnL
jiang1|ji aaH ngH
jiang3|ji aaL ngL
jiang4|ji aaH ngL
jiao1|ji aaH oH
jiao2|ji aaL oH
jiao3|ji aaL oL
jiao4|ji aaH oL
jie1|ji ehH ehH
jie2|ji ehL ehH
jie3|ji ehL ehL
jie4|ji ehH ehL
jin1|ji iH nnH
jin3|ji iL nnL
jin4|ji iH nnL
jing1|ji elH ngH
jing3|ji elL ngL
jing4|ji elH ngL
jiong1|ji uH ngH
jiong3|ji uL ngL
jiong4|ji uH ngL
jiu1|ji oH uH
jiu2|ji oL uH
jiu3|ji oL uL
jiu4|ji oH uL
ju1|jv uH uH
ju2|jv uL uH
ju3|jv uL uL
ju4|jv uH uL
juan1|jv aH nnH
juan3|jv aL nnL
juan4|jv aH nnL
jue1|jv vH vH
jue2|jv vL vH
jue3|jv vL vL
jue4|jv vH vL
jun1|jv elH nnH
jun3|jv elL nnL
jun4|jv elH nnL
ka1|K aH aH
ka3|K aL aL
ka4|K aH aL
kai1|K aH ehH
kai3|K aL ehL
kai4|K aH ehL
kan1|K aH nnH
kan3|K aL nnL
kan4|K aH nnL
kang1|K aaH ngH
kang2|K aaL ngH
kang3|K aaL ngL
kang4|K aaH ngL
kao1|K aaH oH
kao3|K aaL oL
kao4|K aaH oL
ke1|K elH elH
ke2|K elL elH
ke3|K elL elL
ke4|K elH elL
ken3|K elL nnL
ken4|K elH nnL
keng1|K elH ngH
keng3|K elL ngL
kong1|ku uH ngH
kong3|ku uL ngL
kong4|ku uH ngL
kou1|K oH uH
kou3|K oL uL
kou4|K oH uL
ku1|ku uH uH
ku3|ku uL uL
ku4|ku uH uL
kua1|ku aH aH
kua3|ku aL aL
kua4|ku aH aL
kuai1|ku aH ehH
kuai3|ku aL ehL
kuai4|ku aH ehL
kuan1|ku aH nnH
kuan3|ku aL nnL
kuan4|ku aH nnL
kuang1|ku aaH ngH
kuang2|ku aaL ngH
kuang3|ku aaL ngL
kuang4|ku aaH ngL
kui1|ku ehH iH
kui2|ku ehL iH
kui3|ku ehL iL
kui4|ku ehH iL
kun1|ku elH nnH
kun3|ku elL nnL
kun4|ku elH nnL
kuo3|ku oL oL
kuo4|ku oH oL
