a1|aH aH
zao2|Z aaL oH
zao3|Z aaL oL
zao4|Z aaH oL
ze2|Z elL elH
ze4|Z elH elL
zei2|Z ehL iH
zen3|Z elL nnL
zen4|Z elH nnL
zeng1|Z elH ngH
zeng3|Z elL ngL
zeng4|Z elH ngL
zha1|Zh aH aH
zha2|Zh aL aH
zha3|Zh aL aL
zha4|Zh aH aL
zhai1|Zh aH ehH
zhai2|Zh aL ehH
zhai3|Zh aL ehL
zhai4|Zh aH ehL
zhan1|Zh aH nnH
zhan2|Zh aL nnH
zhan3|Zh aL nnL
zhan4|Zh aH nnL
zhang1|Zh aaH ngH
zhang3|Zh aaL ngL
zhang4|Zh aaH ngL
zhao1|Zh aaH oH
zhao2|Zh aaL oH
zhao3|Zh aaL oL
zhao4|Zh aaH oL
zhe1|Zh elH elH
zhe2|Zh elL elH
zhe3|Zh elL elL
zhe4|Zh elH elL
zhen1|Zh elH nnH
zhen3|Zh elL nnL
zhen4|Zh elH nnL
zheng1|Zh elH ngH
zheng3|Zh elL ngL
zheng4|Zh elH ngL
zhi1|Zh ibH ibH
zhi2|Zh ibL ibH
zhi3|Zh ibL ibL
zhi4|Zh ibH ibL
zhong1|zhu uH ngH
zhong3|zhu uL ngL
zhong4|zhu uH ngL
zhou1|Zh oH uH
zhou2|Zh oL uH
zhou3|Zh oL uL
zhou4|Zh oH uL
zhu1|zhu uH uH
zhu2|zhu uL uH
zhu3|zhu uL uL
zhu4|zhu uH uL
zhua1|zhu aH aH
zhua3|zhu aL aL
zhuai3|zhu aL ehL
zhuan1|zhu aH nnH
zhuan3|zhu aL nnL
zhuan4|zhu aH nnL
zhuang1|zhu aaH ngH
zhuang4|zhu aaH ngL
zhui1|zhu ehH iH
zhui3|zhu ehL iL
zhui4|zhu ehH iL
zhun1|zhu elH nnH
zhun3|zhu elL nnL
zhun4|zhu elH nnL
zhuo1|zhu oH oH
zhuo2|zhu oL oH
zhuo3|zhu oL oL
zhuo4|zhu oH oL
zi1|Z ifH ifH
zi3|Z ifL ifL
zi4|Z ifH ifL
zong1|zu uH ngH
zong3|zu uL ngL
zong4|zu uH ngL
zou1|Z oH uH
zou3|Z oL uL
zou4|Z oH uL
zu1|zu uH uH
zu2|zu uL uH
zu3|zu uL uL
zuan1|zu aH nnH
zuan3|zu aL nnL
zuan4|zu aH nnL
zui1|zu ehH iH
zui3|zu ehL iL
zui4|zu ehH iL
zun1|zu elH nnH
zun3|zu elL nnL
zun4|zu elH nnL
zuo1|zu oH oH
zuo2|zu oL oH
zuo3|zu oL oL
zuo4|zu oH oL
